male names,female names
Wilburn,Sula
Bennett,Velva
Casper,Aggie
Christ,Alida
Dell,Deborah
Egbert,Elvie
Elmo,Eulah
Fay,Gene
Gabriel,Golden
Hector,Hassie
Horatio,Idell
Lige,Kay
Saul,Lenna
Smith,Liza
Squire,Lossie
Tobe,Marjory
Tommie,Neta
Wyatt,Ouida
Alford,Portia
Alma,Therese
Alton,Treva
Andres,Zoe
Burl,Aletha
Cicero,Ara
Dean,Audra
Dorsey,Carmella
Enos,Edwina
Howell,Elfrieda
Lou,Emelia
Loyd,Emmer
Mahlon,Euna
Nat,Filomena
Omar,Henry
Oran,Kathryne
Parker,Lady
Raleigh,Lala
Reginald,Loma
Rubin,Myrl
Seymour,Stephanie
Wm,Zada
Young,Amie
Benjamine,Augustine
Carey,Berdie
Carlton,Betsy
Eldridge,Corrie
Elzie,Dinah
Garrett,Dorthy
Isham,Elizebeth
Johnson,Fairy
Larry,Hertha
Logan,Ines
Merrill,Jo
Mont,Mathilde
Oren,Missouri
Pierre,Robert
Rex,Rosalee
Rodney,Theodora
Ted,Alene
Webster,Arrie
West,Cordia
Wheeler,Corene
Willam,Ebba
Al,Elena
Aloysius,Eugenie
Alvie,Hazle
Anna,Hildegard
Art,Huldah
Augustine,Jessica
Bailey,Libbie
Benjaman,Melva
Beverly,Nevada
Bishop,Retha
Clair,Rosina
Cloyd,Rubye
Coleman,Sidney
Dana,Thora
Duncan,Trudie
Dwight,Alfreda
Emile,Arlie
Evert,Delpha
Henderson,Docia
Hunter,Dottie
Jean,Eldora
Lem,Emeline
Luis,Hanna
Mathias,Hessie
Maynard,Leda
Miguel,Leontine
Mortimer,Libby
Nels,Manda
Norris,Norine
Pat,Oda
Phil,Phebe
Rush,Sammie
Santiago,Tempie
Sol,Theo
Sydney,Vella
Thaddeus,Verla
Thornton,Verona
Tim,Versie
Travis,Adrienne
Truman,Ammie
Watson,Annetta
Webb,Aurora
Wellington,Clora
Winfred,Delilah
Wylie,Dellar
Alec,Delta
Basil,Elberta
Baxter,Elisa
Bertrand,Ether
Buford,Frona
Burr,Garnett
Cleveland,Gena
Colonel,Josefina
Dempsey,Louie
Early,Macie
Ellsworth,Margarett
Fate,Martina
Finley,Melinda
Gabe,Mossie
Garland,Myrle
Gerald,Myrtice
Herschel,Nonie
Hezekiah,Ressie
